ESTADO,CIDADE,ZONA,SECAO,LOCAL,ENDERECO,BAIRRO,CEP
RJ,RIO DE JANEIRO,220,104,CIEP ZUMBI DOS PALMARES,RUA ARNALDO GUINLE S/N,COELHO NETO,21530020
RJ,RIO DE JANEIRO,228,10,INSTITUTO DE EDUCAÇÃO,RUA MARIZ E BARROS 273,TIJUCA,20270003
RJ,RIO DE JANEIRO,228,21,INSTITUTO DE EDUCAÇÃO,RUA MARIZ E BARROS 273,TIJUCA,20270003
RJ,RIO DE JANEIRO,228,59,ESCOLA TÉCNICA FEDERAL CELSO SUCKOW DA FONSECA,AV. MARACANÃ 229,MARACANÃ,20271110
RJ,RIO DE JANEIRO,228,60,ESCOLA TÉCNICA FEDERAL CELSO SUCKOW DA FONSECA,AV. MARACANÃ 229,MARACANÃ,20271110
RJ,RIO DE JANEIRO,229,69,ESCOLA MUNICIPAL JENNY GOMES,AV. PAULO DE FRONTIN 452  ,RIO COMPRIDO,20261242
RJ,RIO DE JANEIRO,230,13,ESCOLA MUNICIPAL MARECHAL ALCIDES ETCHEGOYEN,AV. CENTRAL S/N,VILA KENNEDY,21850390
RJ,RIO DE JANEIRO,230,15,ESCOLA MUNICIPAL MARECHAL ALCIDES ETCHEGOYEN,AV. CENTRAL S/N,VILA KENNEDY,21850390
RJ,RIO DE JANEIRO,230,127,CIEP 386 GUILHERME DA SILVEIRA FILHO,RUA DO LIMÃO S/N - CJ. JOÃO SALDANHA,JARDIM BANGU,21865360
RJ,RIO DE JANEIRO,231,76,ESCOLA MUNICIPAL CLEMENTINO FRAGA,RUA DO CORAL S/N - CONJUNTO HELDER CAMARA,PADRE MIGUEL,21870260
RJ,RIO DE JANEIRO,231,99,ESCOLA MUNICIPAL ASTROJILDO PEREIRA,"PRAÇA PERDÕES, SN - PARQUE FORMOSO",BANGU,21862300
RJ,RIO DE JANEIRO,232,7,CIEP MESTRE ANDRE,PRAÇA DO TRABALHADOR S/N,PADRE MIGUEL,21875110
RJ,RIO DE JANEIRO,234,5,ESCOLA MUNICIPAL STELLA GUERRA DUVAL,RUA CAPITÃO TEIXEIRA S/N,REALENGO,21755000
RJ,RIO DE JANEIRO,236,44,ESCOLA MUNICIPAL ENGENHEIRO PIRES DO RIO,RUA NOVA ORLEANS S/N,SENADOR CAMARÁ,21830285
RJ,RIO DE JANEIRO,237,31,ESCOLA MUNICIPAL ABRAHÃO JABOUR,RUA RAUL AZEVEDO 373,SENADOR CAMARÁ,21833140
RJ,RIO DE JANEIRO,237,36,CIEP ANTONIO EVARISTO DE MORAES,AV. SANTA CRUZ S/N,SENADOR CAMARÁ,21830000
RJ,RIO DE JANEIRO,237,92,ESCOLA MUNICIPAL ABRAHÃO JABOUR,RUA RAUL AZEVEDO 373,SENADOR CAMARÁ,21833140
RJ,RIO DE JANEIRO,238,22,ESCOLA MUNICIPAL LEONARDO DA VINCI,RUA RENATO REBECHI S/N,BANGU,21825450
RJ,RIO DE JANEIRO,241,13,ESCOLA MUNICIPAL MARECHAL PEDRO CAVALCANTI,RUA PORTO FIRME S/N PARQUE ESTORIL - PACIÊNCIA - RIO DE JANEIRO/RJ,PACIENCIA,23585630
